Year ,Solid Fuels (£ million),Gas (£ million),Electricity (£ million),Liquid Fuels (£ million)[Note 1],All fuel and power (£ million),Vehicle Fuels and Lubricants (£ million),Total energy products (£ million),Total consumers expenditure (£ million)
1970,377,387,656,74,1494,859,2353,30541
1971,351,443,740,80,1614,942,2556,34226
1972,336,521,843,96,1796,1093,2889,38787
1973,330,551,896,116,1893,1249,3142,44511
1974,380,634,1085,162,2261,1717,3978,51356
1975,415,789,1514,183,2901,2232,5133,63038
1976,456,1025,1860,231,3572,2500,6072,73243
1977,545,1244,2159,287,4235,2676,6911,83823
1978,541,1396,2396,287,4620,2610,7230,96656
1979,640,1612,2703,344,5299,3554,8853,114693
1980,704,1903,3370,387,6364,4646,11010,133174
1981,816,2515,3973,431,7735,5695,13430,148052
1982,861,3124,4264,459,8708,6331,15039,162228
1983,868,3589,4450,451,9358,6872,16230,178027
1984,785,3719,4564,429,9497,7481,16978,191390
1985,1047,4098,4850,510,10505,8018,18523,249538
1986,898,4400,5117,374,10789,7354,18143,275334
1987,844,4465,5145,311,10765,7769,18534,302328
1988,814,4542,5345,256,10957,8222,19179,340363
1989,765,4426,5804,283,11278,9060,20338,372485
1990,683,4855,6196,374,12108,10165,22273,404595
1991,755,5784,7088,389,14016,10748,24764,432980
1992,611,5639,7572,353,14175,11024,25199,454983
1993,610,5664,7737,390,14401,11525,25926,482302
1994,625,5681,7979,379,14664,12689,27353,505805
1995,637,5825,8089,405,14956,13356,28312,531720
1996,657,6323,8269,559,15808,14619,30427,569892
1997,621,6075,7767,507,14970,15751,30721,609395
1998,598,5781,7519,416,14314,16598,30912,643490
1999,566,5602,7274,401,13843,18141,31984,675094
2000,488,6170,7455,666,14779,19976,34755,709941
2001,653,6123,7215,595,14586,19554,34140,736203
2002,499,6000,7644,564,14707,19055,33762,761930
2003,368,6180,7564,667,14779,20039,34818,796620
2004,331,7462,9098,798,17689,21269,38958,834577
2005,263,7991,9975,815,19044,24101,43145,873475
2006,305,9633,12368,1076,23382,24386,47768,910681
2007,250,10852,11756,1081,23939,26524,50463,954366
2008,330,12637,13984,1569,28520,30703,59223,983503
2009,291,13269,13808,1165,28533,27151,55684,956293
2010,276,14417,13337,1576,29606,31682,61288,984357
2011,268,13434,13761,1575,29038,35346,64384,1021129
2012,262,15863,15163,1632,32920,34888,67808,1058472
2013,285,16683,16170,1679,34817,33809,68626,1109534
2014,239,14163,15378,1340,31120,32605,63725,1153351
2015,296,14514,15435,979,31224,28511,59735,1187215
2016,326,14508,15924,833,31591,27923,59514,1248091
2017,324,12906,16048,1073,30351,31203,61554,1287278
2018,370,14101,17230,1366,33067,34786,67853,1335216
2019,354,13943,18201,1292,33790,34275,68065,1367861
2020,371,12065,18422,926,31784,25996,57780,1231580
